"","X","Y","Group"
"135","220","0.381058987","Openness"
"136","225","0.939921362","Gender"
"137","225","0.540242343","Age"
"138","225","0.390205554","Openness"
"139","230","0.945169901","Gender"
"140","230","0.52975371","Age"
"141","230","0.388542474","Openness"
"142","235","0.940444412","Gender"
"143","235","0.52440851","Age"
"144","235","0.366965833","Openness"
"145","240","0.952510641","Gender"
"146","240","0.533460153","Age"
"147","240","0.378009161","Openness"
"148","245","0.943564678","Gender"
"149","245","0.523189138","Age"
"150","245","0.386647163","Openness"
"151","250","0.943654859","Gender"
"152","250","0.534241908","Age"
"153","250","0.397041033","Openness"
"154","255","0.949949499","Gender"
"155","255","0.499651837","Age"
"156","255","0.398459316","Openness"
"157","260","0.943095736","Gender"
"158","260","0.552029493","Age"
"159","260","0.406367105","Openness"
"160","265","0.94827213","Gender"
"161","265","0.529508933","Age"
"162","265","0.413447036","Openness"
"163","270","0.944737032","Gender"
"164","270","0.555536119","Age"
"165","270","0.39642481","Openness"
"166","275","0.94589135","Gender"
"167","275","0.546350408","Age"
"168","275","0.398652801","Openness"
"169","280","0.950238078","Gender"
"170","280","0.54855546","Age"
"171","280","0.387923797","Openness"
"172","285","0.940354231","Gender"
"173","285","0.539063117","Age"
"174","285","0.372136627","Openness"
"175","290","0.945169901","Gender"
"176","290","0.541643025","Age"
"177","290","0.384383533","Openness"
"178","295","0.946324219","Gender"
"179","295","0.539230144","Age"
"180","295","0.391468375","Openness"
"181","300","0.944394344","Gender"
"182","300","0.544369476","Age"
"183","300","0.398355944","Openness"
